Kota dan Kecamatan,,
,Jumlah Penduduk Kota Bandung menurut Kecamatan (Jiwa),
,2024,
,Semester I,Semester II
Bandung Kulon,138609,138680
Babakan Ciparay,147541,148721
Bojongloa Kaler,125950,126385
Bojongloa Kidul,89833,90030
Astanaanyar,73794,73853
Regol,81580,81706
Lengkong,71966,71906
Bandung Kidul,62666,63083
Buahbatu,107327,108064
Rancasari,89042,89756
Gedebage,43893,44381
Cibiru,78881,79452
Panyileukan,41722,42059
Ujungberung,93695,94574
Cinambo,26430,26649
Arcamanik,82924,83843
Antapani,81908,82350
Mandalajati,76639,77170
Kiaracondong,132583,133063
Batununggal,122844,123327
Sumur Bandung,40459,40415
Andir,99334,99511
Cicendo,97543,97830
Bandung Wetan,29328,29409
Cibeunying Kidul,115104,115537
Cibeunying Kaler,72038,72440
Coblong,117378,117941
Sukajadi,104338,104604
Sukasari,78544,78790
Cidadap,55944,56234
Kota Bandung,2579837,2591763