id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bulan,jumlah_ritasi,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,6901,RIT,2017
2,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,6065,RIT,2017
3,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,6653,RIT,2017
4,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,6264,RIT,2017
5,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,6761,RIT,2017
6,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,6598,RIT,2017
7,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,7271,RIT,2017
8,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,7355,RIT,2017
9,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,7161,RIT,2017
10,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,7472,RIT,2017
11,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,7201,RIT,2017
12,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,7371,RIT,2017
13,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,7588,RIT,2018
14,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,7086,RIT,2018
15,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,7687,RIT,2018
16,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,7571,RIT,2018
17,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,7859,RIT,2018
18,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,7402,RIT,2018
19,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,8168,RIT,2018
20,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,8118,RIT,2018
21,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,7915,RIT,2018
22,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,8304,RIT,2018
23,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,7942,RIT,2018
24,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,8297,RIT,2018
25,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,8404,RIT,2019
26,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,7425,RIT,2019
27,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,8187,RIT,2019
28,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,7672,RIT,2019
29,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,8167,RIT,2019
30,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,7708,RIT,2019
31,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,8522,RIT,2019
32,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,8249,RIT,2019
33,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,8168,RIT,2019
34,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,8610,RIT,2019
35,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,8242,RIT,2019
36,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,8447,RIT,2019
37,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,8430,RIT,2020
38,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,7633,RIT,2020
39,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,8235,RIT,2020
40,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,7775,RIT,2020
41,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,7566,RIT,2020
42,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,7865,RIT,2020
43,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,8193,RIT,2020
44,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,8146,RIT,2020
45,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,8117,RIT,2020
46,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,8306,RIT,2020
47,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,7986,RIT,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,8307,RIT,2020
49,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,8034,RIT,2021
50,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,7238,RIT,2021
51,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,7882,RIT,2021
52,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,7661,RIT,2021
53,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,7457,RIT,2021
54,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,7472,RIT,2021
55,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,7805,RIT,2021
56,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,7820,RIT,2021
57,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,7644,RIT,2021
58,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,7731,RIT,2021
59,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,6200,RIT,2021
60,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,6962,RIT,2021
61,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,7247,RIT,2022
62,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,6664,RIT,2022
63,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,7403,RIT,2022
64,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,7288,RIT,2022
65,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,7054,RIT,2022
66,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,7367,RIT,2022
67,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,7600,RIT,2022
68,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,7769,RIT,2022
69,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,7422,RIT,2022
70,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,6580,RIT,2022
71,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,7709,RIT,2022
72,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,7512,RIT,2022
73,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,6356,RIT,2023
74,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,6828,RIT,2023
75,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,7174,RIT,2023
76,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,5887,RIT,2023
77,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,6918,RIT,2023
78,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,7543,RIT,2023
79,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,7956,RIT,2023
80,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,5386,RIT,2023
81,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,4921,RIT,2023
82,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,4608,RIT,2023
83,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,5659,RIT,2023
84,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,5865,RIT,2023
85,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,5573,RIT,2024
86,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,5679,RIT,2024
87,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,6251,RIT,2024
88,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,5884,RIT,2024
89,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,5797,RIT,2024
90,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,5373,RIT,2024
91,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,5783,RIT,2024
92,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,5799,RIT,2024
93,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,5726,RIT,2024
94,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,5950,RIT,2024
95,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,5059,RIT,2024
96,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,4933,RIT,2024
